,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
551,40087,Nike,(W) 나이키 덩크 로우 핑크 옥스포드,555,3,39.3035,79000,160000,280000,250000,280000,157300,128.199,9,220,290,PINK OXFORD/METALLIC SILVER,2021-08-25T00:00:00Z,women,125800,KRW,"125,800원",(W) Nike Dunk Low Pink Oxford,100,USD,$100 ,DM8329-600
552,39169,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 45,365,21,-10.7692,-70000,600000,580000,990000,580000,362900,167.158,39,230,320,Sail/Neutral Grey,2021-08-10T00:00:00Z,men,217800,KRW,"217,800원",Nike x Off-White Dunk Low The 50 - Lot 45,22000,JPY,"¥22,000",DM1602-101
553,39166,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 42,76,3,,,460000,750000,850000,750000,534800,248.513,1,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 42,180,USD,$180 ,DM1602-117
554,39160,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 36,294,6,29.7405,149000,580000,650000,1000000,650000,435900,203.596,8,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 36,180,USD,$180 ,DJ0950-107
555,39159,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 35,190,15,-7.69231,-50000,460000,600000,1200000,600000,353200,143.112,8,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,244000,KRW,"244,000원",Nike x Off-White Dunk Low The 50 - Lot 35,1299,CNY,"¥1,299",DJ0950-114
556,39156,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 32,159,1,38,209000,430000,759000,5555000,759000,543400,252.041,2,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 32,180,USD,$180 ,DJ0950-104
557,39155,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 31,213,5,-18.4286,-129000,580000,571000,750000,571000,343400,150.879,9,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 31,180,USD,$180 ,DJ0950-116
558,39154,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 30,196,8,0,0,500000,650000,990000,650000,404900,165.198,19,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,244000,KRW,"244,000원",Nike x Off-White Dunk Low The 50 - Lot 30,1299,CNY,"¥1,299",DM1602-122
559,39151,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 27,113,1,,,660000,800000,850000,800000,581300,265.798,1,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 27,180,USD,$180 ,DM1602-120
560,39150,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 26,75,4,2.04082,12000,420000,600000,999000,600000,370300,161.21,3,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 26,180,USD,$180 ,DM1602-116
